Products,,,,,,,Markup,,Chefpanzee Price,
Product Id,SKU,Category Name,Product Name,Original Price,Product Description,Category (Internal),Lunch,Dinner,Lunch,Dinner
,200171,Rice & Noodles,Saifun Bean Threads,2.3,,,,,2.3,2.3
,200172,Rice & Noodles,Mekong Rice Paper,1.98,,,,,1.98,1.98
,200173,Rice & Noodles,Rice Paper,4.71,,,,,4.71,4.71
,200174,Rice & Noodles,Vegetarian Noodle,1.77,,,,,1.77,1.77
,200175,Rice & Noodles,Stir-fried Noodle,6.29,,,,,6.29,6.29
,200176,Sauces,Medium Sweet Soy Sauce,4.82,,,,,4.82,4.82
,200177,Sauces,Sweet Soy Sauce,4.82,,,,,4.82,4.82
,200178,Sauces,"Stir Fry Sauce, Kikkoman",3.66,,,,,3.66,3.66
,200179,Sauces,"Steak Sauce, Kikkoman",3.66,,,,,3.66,3.66
,200180,Sauces,"Baste And Glaze, Kikkoman",3.45,,,,,3.45,3.45
,200181,Sauces,"Sweet And Sour Sauce, Kikkoman",3.14,,,,,3.14,3.14
,200182,Sauces,"Orange Sauce, Kikkoman",3.45,,,,,3.45,3.45
,200183,Sauces,"Katsu Sauce, Kikkoman",3.66,,,,,3.66,3.66
,200184,Sauces,"Teriyaki Baste And Glaze With Honey And Pineapple, Kikkoman",3.66,,,,,3.66,3.66
,200185,Sauces,"Sweet And Sour Dipping Sauce, Kikkoman",3.66,,,,,3.66,3.66
,200186,Sauces,"Oyster Flavored Sauce, Kikkoman",3.14,,,,,3.14,3.14
,200187,Sauces,"Worcestershire Sauce, Bulldog",5.24,,,,,5.24,5.24
,200188,Sauces,"Soy Sauce, Kikkoman, 15 Fl Oz",4.19,,,,,4.19,4.19
,200189,Sauces,"Less Sodium Soy Sauce, Kikkoman, 15 Oz",4.19,,,,,4.19,4.19
,200190,Sauces,"Superior Light Soy Sauce, Pearl River Bridge",2.82,,,,,2.82,2.82
,200191,Sauces,"Mushroom Flavored Soy Sauce Superior Dark Soy Sauce, Pearl River Bridge",2.93,,,,,2.93,2.93
,200192,Sauces,"Soy Sauce Original Blend, Aloha",6.08,,,,,6.08,6.08
,200193,Sauces,"Barbecue Sauce, Aloha",6.29,,,,,6.29,6.29
,200194,Sauces,"Soy Sauce Lower Salt, Aloha",5.55,,,,,5.55,5.55
,200195,Sauces,"Soy Sauce, Kikkoman, 20 Fluid Ounces",5.24,,,,,5.24,5.24
,200196,Sauces,"Less Sodium Soy Sauce, Kikkoman, 20 Fluid Ounces",5.87,,,,,5.87,5.87
,200197,Sauces,Naturally Fermented Soy Sauce,2.93,,,,,2.93,2.93
,200198,Sauces,"Toyomansi, Soy Sauce With Philippine Lemon",3.14,,,,,3.14,3.14
,200199,Sauces,Soy Sauce,3.14,,,,,3.14,3.14
,200200,Sauces,Black Soy Sauce,4.19,,,,,4.19,4.19
,200201,Sauces,Golden Mountain Seasoning Sauce,2.09,,,,,2.09,2.09
,200202,Sauces,Mely Seasoning Soy Sauce,7.86,,,,,7.86,7.86
,200203,Sauces,Maggi Seasoning,16.79,,,,,16.79,16.79
,200204,Sauces,"Soy Sauce, Datu Puti",2.3,,,,,2.3,2.3
,200205,Sauces,"Soy Sauce, Lauriat",3.14,,,,,3.14,3.14
,200206,Sauces,"Special Soy Sauce, Silver Swan",3.14,,,,,3.14,3.14
,200207,Sauces,Mushroom Soy Sauce,3.35,,,,,3.35,3.35
,200208,Sauces,"Thin Soy Sauce, Healthy Boy Brand",3.03,,,,,3.03,3.03
,200209,Sauces,"Seasoning Sauce, Healthy Boy Brand",3.03,,,,,3.03,3.03
,200210,Sauces,Oyster Sauce,3.35,,,,,3.35,3.35
,200211,Sauces,Panda Brand Oyster Flavored Sauce,7.34,,,,,7.34,7.34
,200212,Sauces,"Oyster Flavored Sauce, Lee Kum Kee",6.29,,,,,6.29,6.29
,200213,Sauces,"Hoisin Sauce, Lee Kum Kee",7.97,,,,,7.97,7.97
,200214,Sauces,"Gold Label Plum Sauce, Lee Kum Kee",11.54,,,,,11.54,11.54
,200215,Sauces,"Superior Light Soy Sauce, Pearl River Bridge, 1.8 L",5.87,,,,,5.87,5.87
,200216,Sauces,"Superior Dark Soy Sauce, Pearl River Bridge, 1.8 L",6.92,,,,,6.92,6.92
,200217,Sauces,"Mushroom Flavored Superior Dark Soy Sauce, Pearl River Bridge, 1.8 L",6.92,,,,,6.92,6.92
,200218,Sauces,"Soy Sauce, Kikkoman, 1.89 L",9.44,,,,,9.44,9.44
,200219,Sauces & Marinades,Korean Bbq Chicken And Pork Marinade,3.98,,,,,3.98,3.98
,200220,Sauces & Marinades,Korean Bbq Marinade For Ribs,3.98,,,,,3.98,3.98
,200221,Sauces & Marinades,Korean Bbq Bulgogi Marinade,3.98,,,,,3.98,3.98
,200222,Sauces & Marinades,Super Premium Fish Sauce,0.72,,,,,0.72,0.72
,200223,Sauces & Marinades,Premium Soy Sauce,2.72,,,,,2.72,2.72
,200224,Sauces & Marinades,Kikkoman Soy Sauce,2.72,,,,,2.72,2.72
,200225,Sauces & Marinades,Kikkoman Less Sodium Soy Sauce,3.77,,,,,3.77,3.77
,200226,Sauces & Marinades,Maggi Seasoning,5.55,,,,,5.55,5.55
,200227,Sauces & Marinades,Knorr Liquid Seasoning Original,3.77,,,,,3.77,3.77
,200228,Sauces & Marinades,Potsticker Gyoza Dipping Sauce,2.09,,,,,2.09,2.09
,200229,Sauces & Marinades,Kikkoman Gyoza Dipping Sauce,3.14,,,,,3.14,3.14
,200230,Sauces & Marinades,Kikkoman Tempura Dipping Sauce,3.45,,,,,3.45,3.45
,200231,Sauces & Marinades,Kikkoman Traditionally Brewed Soy Sauce,3.87,,,,,3.87,3.87
,200232,Sauces & Marinades,Kikkoman Sushi And Sashimi Soy Sauce,3.35,,,,,3.35,3.35
,200233,Sauces & Marinades,Kikkoman Teriyaki Marinade And Sauce,3.77,,,,,3.77,3.77
,200234,Sauces & Marinades,Kikkoman Memmi Noodle Soup Base,3.14,,,,,3.14,3.14
,200235,Sauces & Marinades,Kikkoman Sukiyaki Sauce,3.66,,,,,3.66,3.66
,200236,Sauces & Marinades,Kikkoman Ponzu Citrus Seasoned Dressing And Sauce Lime,3.14,,,,,3.14,3.14
,200237,Sauces & Marinades,Tamari Gluten Free Soy Sauce,4.82,,,,,4.82,4.82
,200238,Sauces & Marinades,Tamari Gluten Free Soy Sauce Reduce Sodium,4.5,,,,,4.5,4.5
,200239,Sauces & Marinades,Organic Tamari Gluten Free Soy Sauce,5.24,,,,,5.24,5.24
,200240,Sauces & Marinades,Yakisoba Sauce,4.5,,,,,4.5,4.5
,200241,Sauces & Marinades,Soup Base For Noodles,6.29,,,,,6.29,6.29
,200242,Sauces & Marinades,Yakitori Marinade And Sauce,3.14,,,,,3.14,3.14
,200243,Sauces & Marinades,Thai Peanut Dressing,3.14,,,,,3.14,3.14
,200244,Sauces & Marinades,Creamy Miso Dressing,3.14,,,,,3.14,3.14
,200245,Sauces & Marinades,Thai Noodle Sauce,1.56,,,,,1.56,1.56
,200246,Sauces & Marinades,Sweet Thai Noodle Sauce,1.35,,,,,1.35,1.35
,200247,Sauces & Marinades,Mud Fish Sauce,12.59,,,,,12.59,12.59
,200248,Sauces & Marinades,Fish Sauce,8.39,,,,,8.39,8.39
,200249,Sauces & Marinades,Special Fish Sauce,17.84,,,,,17.84,17.84
,200250,Sauces & Marinades,Yentafo Sauce,3.14,,,,,3.14,3.14
,200251,Sauces & Marinades,O.C. Cajun Dipping Sauce,6.29,,,,,6.29,6.29
,200252,Sauces & Marinades,O.C. Cajun Sauce,7.86,,,,,7.86,7.86
,200253,Sauces & Marinades,Spicy Bean Sauce,3.77,,,,,3.77,3.77
,200254,Sauces & Marinades,Black Bean Garlic Sauce,4.08,,,,,4.08,4.08
,200255,Sauces & Marinades,Chinese Style Bbq Sauce,2.09,,,,,2.09,2.09
,200256,Sauces & Marinades,Black Bean Sauce With Garlic,3.98,,,,,3.98,3.98
,200257,Sauces & Marinades,Thai Style Peanut Sauce,4.19,,,,,4.19,4.19
,200258,Sauces & Marinades,Peanut Satay Sauce,2.72,,,,,2.72,2.72
,200259,Sauces & Marinades,Hoisin Sauce,3.03,,,,,3.03,3.03
,200260,Sauces & Marinades,Original Stir Fry Sauce,4.19,,,,,4.19,4.19
,200261,Sauces & Marinades,Kung Pao Stir Fry Sauce,4.19,,,,,4.19,4.19
,200262,Sauces & Marinades,Sriracha Mayo,3.77,,,,,3.77,3.77
,200263,Sauces & Marinades,Spring Roll Sauce,3.56,,,,,3.56,3.56
,200264,Sauces & Marinades,Lucky Fish Sauce,1.35,,,,,1.35,1.35
,200265,Savory Snacks,Shrimp Crackers,4.19,,,,,4.19,4.19
,200266,Savory Snacks,Preserved Duck Eggs,3.14,,,,,3.14,3.14
,200267,Savory Snacks,Salted And Cooked Duck Eggs,6.29,,,,,6.29,6.29
,200268,Savory Snacks,Prawn Crackers,4.71,,,,,4.71,4.71
,200269,Savory Snacks,Padi Oates Cracker,4.19,,,,,4.19,4.19
,200270,Savory Snacks,Rempeyek Batter Mix,4.19,,,,,4.19,4.19
,200271,Savory Snacks,Instant Noodles Spicy Pork,13.64,,,,,13.64,13.64
,200272,Savory Snacks,Bowl Noodle Soup Spicy Shrimp Flavor,13.64,,,,,13.64,13.64
,200273,Savory Snacks,Bowl Noodle Soup Spicy Chicken Flavor,13.64,,,,,13.64,13.64
,200274,Savory Snacks,Bowl Noodle Soup Hot And Spicy Flavor,13.64,,,,,13.64,13.64
,200275,Savory Snacks,Bowl Noodle Soup Spicy Kimchi Flavor,13.64,,,,,13.64,13.64
,200276,Savory Snacks,Mama Shrimp Tom Yum Flavor,13.22,,,,,13.22,13.22
